Soort,Locatie_Status,Gebiedsnaam,Datum_Eerste_Wnm
faxonius limosus,In gebied,Abeek met aangrenzende moerasgebieden,2010-10-30
faxonius limosus,In gebied,Bos- en heidegebieden ten oosten van Antwerpen,2011-08-09
faxonius limosus,In gebied,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen,2020-03-25
faxonius limosus,In gebied,Bossen van het zuidoosten van de Zandleemstreek,2019-10-27
faxonius limosus,In gebied,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",2011-06-08
faxonius limosus,In gebied,De Maten,2015-07-28
faxonius limosus,In gebied,Demervallei,2016-11-17
faxonius limosus,In gebied,Duingebieden inclusief IJzermonding en Zwin,2020-07-16
faxonius limosus,In gebied,"Hageven met Dommelvallei, Beverbeekse heide, Warmbeek en Wateringen",2022-12-10
faxonius limosus,In gebied,Hallerbos en nabije boscomplexen met brongebieden en heiden,2015-09-20
faxonius limosus,In gebied,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats",2010-04-15
faxonius limosus,In gebied,Historische fortengordels van Antwerpen als vleermuizenhabitats,2016-10-05
faxonius limosus,In gebied,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",2014-02-07
faxonius limosus,In gebied,Jekervallei en bovenloop van de Demervallei,2013-04-02
faxonius limosus,In gebied,Klein en Groot Schietveld,2015-06-03
faxonius limosus,In gebied,Mechelse heide en vallei van de Ziepbeek,2025-07-16
faxonius limosus,In gebied,Overgang Kempen-Haspengouw,2017-09-29
faxonius limosus,In gebied,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,2012-10-01
faxonius limosus,In gebied,Uiterwaarden langs de Limburgse Maas en Vijverbroek,2015-09-01
faxonius limosus,In gebied,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",2025-08-21
faxonius limosus,In gebied,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",2016-03-11
faxonius limosus,In gebied,"Valleigebied tussen Melsbroek, Kampenhout, Kortenberg en Veltem",2015-06-04
faxonius limosus,In gebied,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",2011-07-18
faxonius limosus,In gebied,"Vennen, heiden en moerassen rond Turnhout",2011-07-20
faxonius limosus,< 100m,"Vallei- en brongebieden van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden",2022-08-09
faxonius limosus,< 1000m,Bossen en heiden van zandig Vlaanderen: oostelijk deel,2022-10-26
faxonius limosus,< 1000m,Polders,2020-07-16
faxonius limosus,< 1000m,Valleien van de Winge en de Motte met valleihellingen,2024-12-20
pontastacus leptodactylus,In gebied,"Hageven met Dommelvallei, Beverbeekse heide, Warmbeek en Wateringen",2014-09-10
pontastacus leptodactylus,In gebied,Hallerbos en nabije boscomplexen met brongebieden en heiden,2022-07-12
pontastacus leptodactylus,In gebied,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",2010-06-30
pontastacus leptodactylus,< 1000m,Bossen en heiden van zandig Vlaanderen: oostelijk deel,2024-02-28
pontastacus leptodactylus,< 1000m,Polders,2021-03-21
procambarus acutus,In gebied,Bos- en heidegebieden ten oosten van Antwerpen,2020-10-26
procambarus acutus,In gebied,Mechelse heide en vallei van de Ziepbeek,2023-08-03
procambarus acutus,In gebied,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",2015-08-31
procambarus acutus,In gebied,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",2021-05-26
procambarus acutus,< 1000m,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",2022-06-07
procambarus acutus,< 1000m,Historische fortengordels van Antwerpen als vleermuizenhabitats,2021-09-16
procambarus clarkii,In gebied,Bos- en heidegebieden ten oosten van Antwerpen,2025-07-09
procambarus clarkii,In gebied,Bossen en heiden van zandig Vlaanderen: oostelijk deel,2021-07-10
procambarus clarkii,In gebied,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",2021-08-04
procambarus clarkii,In gebied,Demervallei,2023-09-15
procambarus clarkii,In gebied,Duingebieden inclusief IJzermonding en Zwin,2024-10-20
procambarus clarkii,In gebied,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",2021-08-25
procambarus clarkii,In gebied,Polders,2013-08-06
procambarus clarkii,In gebied,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,2019-07-08
procambarus clarkii,In gebied,Uiterwaarden langs de Limburgse Maas en Vijverbroek,2024-08-21
procambarus clarkii,In gebied,"Valleigebied tussen Melsbroek, Kampenhout, Kortenberg en Veltem",2023-09-02
procambarus clarkii,< 1000m,Bossen van het zuidoosten van de Zandleemstreek,2021-08-03
procambarus clarkii,< 1000m,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",2018-06-29
procambarus virginalis,In gebied,Klein en Groot Schietveld,2024-05-26
procambarus virginalis,< 1000m,Duingebieden inclusief IJzermonding en Zwin,2021-07-14
procambarus virginalis,< 1000m,Historische fortengordels van Antwerpen als vleermuizenhabitats,2020-04-17
