"NAAM","OMSCHR","CATC","startDate","provincie","gemeente","postcode","VHAG","Latitude","Longitude"
"Hoofdgracht","Rode Weel, thv bunker aan brug over verlegde schijns",1,"10-08-2024","Antwerpen","Antwerpen",2030,3104,51.3013959,4.3723865
"Vloedgracht","Leeuwerweg, thv kruispunt met landweg, vanaf 2de betonnen brugje",1,"11-07-2024","Vlaams-Brabant","Zoutleeuw",3440,7957,50.8409316,5.1014734
"Grotebeek","Molenstede, Klappijstr, via oprit huis nr 92, over brugje, 100 m rechtdoor door wei, LO",1,"15-07-2024","Vlaams-Brabant","Diest",3294,7751,51.0106218,5.0460201
"Bellebeek","Affligemsestraat-Driesstraat,afw weg,thv handelszaak",1,"27-09-2024","Vlaams-Brabant","Liedekerke",1770,5956,50.8854042,4.0965682
"Bellebeek","Teralfene,Stationsstraat,afw Bellemolen, thv 524000",1,"27-09-2024","Vlaams-Brabant","Affligem",1790,5956,50.8880448,4.1156538
"Handzamevaart","Krekebekestraat, afw Kortemark",1,"28-06-2024","West-Vlaanderen","Kortemark",8610,1208,51.0260091,3.0239868
"Dommel","Overpelt, Dommellaan, 10 m opw Wedelsemolen, opw houten brugje",1,"31-08-2024","Limburg","Pelt",3900,9512,51.1812426,5.4367156
"Lossing","Lossing-Emissaire, Molenbeersel, Vlasbrei, Uffelseweg, grenspaal 145, opw brug",1,"TBD","Limburg","Kinrooi",3640,9967,51.1717186,5.7795737
"Antitankkanaal","'s Gravenwezel, Noorderlaan",1,"TBD","Antwerpen","Schilde",2970,17603,51.2630475,4.5877525
"Dijle","Kessel-Lo, Dijledreef, opw brug",1,"TBD","Vlaams-Brabant","Leuven",3010,6551,50.8913324,4.7102315
"Dijle","Heverlee, opw brug voor kasteel van Arenberg",1,"TBD","Vlaams-Brabant","Leuven",3001,6551,50.8630093,4.6835057
"Molse Nete","Ginderbroek, Borgerhoutsendijk, opw brug",1,"TBD","Antwerpen","Mol",2400,8506,51.1790866,5.1125897
"Lossing","Molenbeersel, Weertersteenweg, onverhard pad natuurreservaat, 30m opw brug",1,"TBD","Limburg","Kinrooi",3640,9967,51.1645167,5.7399779
"Itterbeek","Kessenich, Manestr, 10 m afw brug",1,"TBD","Limburg","Kinrooi",3640,9522,51.1508565,5.7754728
"Vunt","Wilsele, Van der Nootstr, opw monding Vunt en 217300",1,"TBD","Vlaams-Brabant","Leuven",3012,6603,50.9285196,4.7109437
"Wimp","Herenthout; Itegemsestwg; 120m afw brug beginnen",1,"TBD","Antwerpen","Herenthout",2270,8507,51.1259324,4.7591022
"Vunt","Wilsele, Aarschotsestw, afw brug en overstorten",1,"TBD","Vlaams-Brabant","Leuven",3012,6603,50.9151847,4.7152261
"Zuidlede","Stenenbrug,veldweg langs Zuidlede",1,"TBD","Oost-Vlaanderen","Moerbeke",9180,26,51.1478349,3.9110453
"Oude Kale","Molendam-Molenslag,Molenbrug,opw weg",1,"TBD","Oost-Vlaanderen","Lievegem",9920,72,51.0832226,3.6207069
"Oude Kale","Landegem,Brouwerijstraat,afw weg",1,"TBD","Oost-Vlaanderen","Deinze",9850,72,51.0578843,3.5717004
"Noordede","Vlissegem, Brugse Baan, Lepelem",1,"TBD","West-Vlaanderen","Jabbeke",8490,2122,51.2429291,3.1108916
"Kanaal van Stekene","Rode Amerikaanse rivierkreeft in 2022",1,"TBD","Oost-Vlaanderen","Stekene",9112,123,51.1742492,4.0028625
